,Company,Valuation ($B),Country,City,Industry,Select Inverstors,Founded Year,Financial Stage,Investors Count,Deal Terms,Year Joined,Total Raised ($B),years_to_unicorn,Select_Inverstor_1
135,OakNorth Bank,5.0,United Kingdom,London,Fintech,"Clermont Group, Coltrane Asset Management, Toscafund Asset Management",2015,Acq,10,6,2017,0.99052,2,"['Clermont Group', ' Coltrane Asset Management', ' Toscafund Asset Management']"
136,Moon Active,5.0,Israel,Tel Aviv,Mobile & telecommunications,"Insight Partners, Andalusian Capital Partners",2015,Acq,10,6,2020,0.99052,5,"['Insight Partners', ' Andalusian Capital Partners']"
137,OfBusiness,5.0,India,Gurgaon,E-commerce & direct-to-consumer,"Matrix Partners India, Falcon Edge Capital, SoftBank Group",2015,None,14,6,2021,0.8555499999999999,6,"['Matrix Partners India', ' Falcon Edge Capital', ' SoftBank Group']"
138,Cockroach Labs,5.0,United States,New York,Data management & analytics,"Google Ventures, Benchmark, FirstMark Capital",2015,None,17,5,2021,0.63285,6,"['Google Ventures', ' Benchmark', ' FirstMark Capital']"
139,Qonto,5.0,France,Paris,Fintech,"Alven Capital, Valar Ventures, Tencent Holdings",2016,None,17,3,2022,0.70339,6,"['Alven Capital', ' Valar Ventures', ' Tencent Holdings']"
140,Ola Electric Mobility,5.0,India,Bengaluru,Auto & transportation,"SoftBank Group, Tiger Global Management, Matrix Partners India",2019,None,20,3,2019,0.82229,0,"['SoftBank Group', ' Tiger Global Management', ' Matrix Partners India']"
141,Icertis,5.0,United States,Bellevue,Artificial intelligence,"Eight Roads Ventures, Greycroft, Ignition Partners",2009,None,12,6,2019,0.3715,10,"['Eight Roads Ventures', ' Greycroft', ' Ignition Partners']"
142,Hopper,5.0,Canada,Montreal,Travel,"Capital One Growth Ventures, Citi Ventures, OMERS Ventures",2007,None,18,6,2021,0.6142000000000001,14,"['Capital One Growth Ventures', ' Citi Ventures', ' OMERS Ventures']"
143,Meesho,4.9,India,Bengaluru,Internet software & services,"Venture Highway, Sequoia Capital India, Prosus Ventures",2015,None,26,5,2021,1.061,6,"['Venture Highway', ' Sequoia Capital India', ' Prosus Ventures']"
145,Creditas,4.8,Brazil,Sao Paulo,Fintech,"Kaszek Ventures, Amadeus Capital Partners, Quona Capital",2012,Acquired,25,5,2020,0.8674400000000001,8,"['Kaszek Ventures', ' Amadeus Capital Partners', ' Quona Capital']"
146,Chipone,4.73,China,Beijing,Hardware,"China Grand Prosperity Investment, Silk Road Huacheng, Oriza Equity Investment",2008,None,30,1,2021,1.024,13,"['China Grand Prosperity Investment', ' Silk Road Huacheng', ' Oriza Equity Investment']"
147,Pleo,4.7,Denmark,Copenhagen,Fintech,"Creandum, Founders, Kinnevik",2015,None,16,4,2021,0.4288,6,"['Creandum', ' Founders', ' Kinnevik']"
148,Anduril,4.6,United States,Irvine,Artificial intelligence,"Andreessen Horowitz, Founders Fund, Revolution Ventures",2017,None,14,4,2019,0.8285,2,"['Andreessen Horowitz', ' Founders Fund', ' Revolution Ventures']"
149,Lyra Health,5.85,United States,Burlingame,Health,"Greylock Partners, Venrock, Providence Ventures",2015,None,22,7,2020,0.90613,5,"['Greylock Partners', ' Venrock', ' Providence Ventures']"
150,Dataiku,4.6,United States,New York,Internet software & services,"Alven Capital, FirstMark Capital, capitalG",2013,None,16,5,2019,0.6466000000000001,6,"['Alven Capital', ' FirstMark Capital', ' capitalG']"
151,Checkr,4.6,United States,San Francisco,Internet software & services,"Y Combinator, Accel, T. Rowe Price",2014,None,24,5,2019,0.559,5,"['Y Combinator', ' Accel', ' T. Rowe Price']"
152,Color,4.6,United States,Burlingame,Health,"General Catalyst, Viking Global Investors, T. Rowe Price",2013,None,25,5,2021,0.49604000000000004,8,"['General Catalyst', ' Viking Global Investors', ' T. Rowe Price']"
153,Meizu Technology,4.58,China,Zhuhai,Hardware,"Telling Telecommunication Holding Co., Alibaba Group",2003,IPO,4,2,2014,0.9431,11,"['Telling Telecommunication Holding Co.', ' Alibaba Group']"
154,Vinted,4.53,Lithuania,Vilnius,E-commerce & direct-to-consumer,"Accel, Insight Partners, Burda Principal Investments",2008,None,9,5,2019,0.56223,11,"['Accel', ' Insight Partners', ' Burda Principal Investments']"
155,VIPKid,4.5,China,Beijing,Edtech,"Sequoia Capital China, Tencent Holdings, Sinovation Ventures",2013,None,12,3,2016,0.97549,3,"['Sequoia Capital China', ' Tencent Holdings', ' Sinovation Ventures']"
156,Socure,4.5,United States,New York,Cybersecurity,"Two Sigma Ventures, Flint Capital, Commerce Ventures",2012,None,22,4,2021,0.64825,9,"['Two Sigma Ventures', ' Flint Capital', ' Commerce Ventures']"
158,UBTECH Robotics,4.58,China,Shenzhen,Hardware,"CDH Investments, Goldstone Investments, Qiming Venture Partners",2012,IPO,22,7,2016,0.6456000000000001,4,"['CDH Investments', ' Goldstone Investments', ' Qiming Venture Partners']"
159,Outreach,4.4,United States,Seattle,Internet software & services,"Mayfield Fund, M12, Trinity Ventures",2011,None,27,9,2019,0.48978,8,"['Mayfield Fund', ' M12', ' Trinity Ventures']"
160,WeRide,4.4,China,Guangzhou,Auto & transportation,"Atop Capital, IDInvest Partners, Qiming Venture Partners",2017,None,30,6,2020,0.789,3,"['Atop Capital', ' IDInvest Partners', ' Qiming Venture Partners']"
161,BetterUp,4.7,United States,San Francisco,Internet software & services,"Threshold Ventures, Lightspeed Venture Partners, Crosslink Capital",2013,None,18,4,2021,0.5669,8,"['Threshold Ventures', ' Lightspeed Venture Partners', ' Crosslink Capital']"
162,Arctic Wolf Networks,4.3,United States,Eden Prairie,Cybersecurity,"Lightspeed Venture Partners, Redpoint Ventures, Viking Global Investors",2012,None,14,4,2020,0.49825,8,"['Lightspeed Venture Partners', ' Redpoint Ventures', ' Viking Global Investors']"
163,Sorare,4.3,France,Paris,E-commerce & direct-to-consumer,"Benchmark, Accel, SoftBank Group",2019,None,24,1,2021,0.7370800000000001,2,"['Benchmark', ' Accel', ' SoftBank Group']"
164,Relativity Space,4.2,United States,Inglewood,Other,"Playground Global, Bond, Tribe Capital",2016,None,35,4,2020,1.385,4,"['Playground Global', ' Bond', ' Tribe Capital']"
165,Miaoshou Doctor,4.25,China,Beijing,E-commerce & direct-to-consumer,"Sequoia Capital China, Qiming Venture Partners, Tencent Holdings",2015,None,21,4,2019,0.97114,4,"['Sequoia Capital China', ' Qiming Venture Partners', ' Tencent Holdings']"
166,Chainalysis,4.2,United States,New York,Fintech,"Addition, Benhcmark, Accel",2014,None,25,4,2020,0.36672000000000005,6,"['Addition', ' Benhcmark', ' Accel']"
167,ThoughtSpot,4.2,United States,Sunnyvale,Internet software & services,"Lightspeed Venture Partners, Khosla Ventures, Geodesic Capital",2012,None,20,7,2018,0.6737000000000001,6,"['Lightspeed Venture Partners', ' Khosla Ventures', ' Geodesic Capital']"
168,Globalization Partners,4.2,United States,Boston,Internet software & services,"Vista Equity Partners, Wincove, TDR Capital",2012,None,5,1,2022,0.3535,10,"['Vista Equity Partners', ' Wincove', ' TDR Capital']"
169,dbt Labs,4.2,United States,Philadelphia,Data management & analytics,"Andreessen Horowitz, Amplify Partners, Sequoia Capital",2016,None,12,2,2021,0.4159,5,"['Andreessen Horowitz', ' Amplify Partners', ' Sequoia Capital']"
170,SSENSE,4.15,Canada,Montreal,E-commerce & direct-to-consumer,Sequoia Capital,2003,None,12,2,2021,0.4159,18,['Sequoia Capital']
171,Dataminr,4.1,United States,New York,Artificial intelligence,"Venrock, Institutional Venture Partners, Goldman Sachs",2009,None,35,6,2018,1.044,9,"['Venrock', ' Institutional Venture Partners', ' Goldman Sachs']"
172,BitPanda,4.11,Austria,Vienna,Fintech,"Speedinvest, Valar Ventures, Uniqa Ventures",2014,None,12,2,2021,0.49743,7,"['Speedinvest', ' Valar Ventures', ' Uniqa Ventures']"
173,Weee!,4.1,United States,Fremont,"Supply chain, logistics, & delivery","Goodwater Capital, iFly, XVC Venture Capital",2015,None,14,3,2021,0.8362999999999999,6,"['Goodwater Capital', ' iFly', ' XVC Venture Capital']"
174,Houzz,4.0,United States,Palo Alto,E-commerce & direct-to-consumer,"New Enterprise Associates, Sequoia Capital, Comcast Ventures",2008,None,18,5,2014,0.6136,6,"['New Enterprise Associates', ' Sequoia Capital', ' Comcast Ventures']"
175,CRED,4.01,India,Bengaluru,Fintech,"Tiger Global Management, DST Global, Sequoia Capital India",2018,None,18,5,2021,0.6136,3,"['Tiger Global Management', ' DST Global', ' Sequoia Capital India']"
176,Yello Mobile,4.0,South Korea,Seoul,Mobile & telecommunications,Formation 8,2012,Divestiture,8,6,2014,0.21606999999999998,2,['Formation 8']
177,MEGVII,4.0,China,Beijing,Artificial intelligence,"Ant Financial Services Group, Russia-China Investment Fund, Foxconn Technology Company",2011,None,18,6,2017,1.358,6,"['Ant Financial Services Group', ' Russia-China Investment Fund', ' Foxconn Technology Company']"
178,Greensill,4.0,United Kingdom,London,Fintech,"SoftBank Group, General Atlantic",2011,Management,2,2,2018,1.705,7,"['SoftBank Group', ' General Atlantic']"
179,Impossible Foods,4.0,United States,Redwood City,Consumer & retail,"Khosla Ventures, Horizons Ventures, Temasek Holdings",2011,None,38,7,2019,2.006,8,"['Khosla Ventures', ' Horizons Ventures', ' Temasek Holdings']"
180,Radiology Partners,4.0,United States,El Segundo,Health,"New Enterprise Associates, Starr Investment Holdings",2012,None,4,1,2019,1.347,7,"['New Enterprise Associates', ' Starr Investment Holdings']"
181,Next Insurance,4.0,United States,Palo Alto,Fintech,"Zeev Ventures, Ribbit Capital, TLV Partners",2016,None,17,6,2019,0.881,3,"['Zeev Ventures', ' Ribbit Capital', ' TLV Partners']"
182,Patreon,4.0,United States,San Francisco,Internet software & services,"Index Ventures, Thrive Capital, CRV",2013,Acquired,28,7,2020,0.4121,7,"['Index Ventures', ' Thrive Capital', ' CRV']"
183,PointClickCare,4.0,Canada,Mississauga,Internet software & services,"Dragoneer Investment Group, Hellman & Friedman, JMI Equity",2000,None,3,1,2021,0.08688,21,"['Dragoneer Investment Group', ' Hellman & Friedman', ' JMI Equity']"
184,Zapier,4.0,United States,Sunnyvale,Internet software & services,"Sequoia Capital, Bessemer Venture Partners, Threshold Ventures",2011,None,6,1,2021,0.0025800000000000003,10,"['Sequoia Capital', ' Bessemer Venture Partners', ' Threshold Ventures']"
185,Clubhouse,4.0,United States,San Francisco,Mobile & telecommunications,"Andreessen Horowitz, TQ Ventures",2020,None,6,1,2021,0.0025800000000000003,1,"['Andreessen Horowitz', ' TQ Ventures']"
186,BrowserStack,4.0,Ireland,Dublin,Internet software & services,"Accel, Insight Partners, Bond Capital",2011,None,3,2,2021,0.25,10,"['Accel', ' Insight Partners', ' Bond Capital']"
187,Olive,4.0,United States,Columbus,Internet software & services,"Drive Capital, General Catalyst, Ascension Ventures",2012,Divestiture,16,4,2020,0.8588,8,"['Drive Capital', ' General Catalyst', ' Ascension Ventures']"
188,Rubrik,4.0,United States,Palo Alto,Data management & analytics,"Greylock Partners, Lightspeed Venture Partners, Khosla Ventures",2014,None,10,6,2017,0.553,3,"['Greylock Partners', ' Lightspeed Venture Partners', ' Khosla Ventures']"
189,Melio,4.0,United States,New York,Fintech,"Accel, Aleph, American Express Ventures",2018,None,13,2,2021,0.504,3,"['Accel', ' Aleph', ' American Express Ventures']"
